invoice_id,vendor_name,vendor_gstin,invoice_number,invoice_date,due_date,amount,tax_amount,total_amount,currency,purchase_order,payment_status,linked_transaction_id,category,description
INV0001,Sigma Labs,58SH9180677390U6I8,INV-2026-001,2026-05-24T18:47:31,2026-06-08,7359.00,1324.62,8683.62,INR,,Pending,TXN0022,Consulting,Office hardware procurement
INV0002,Nimbus Exporters,33RU1962649395B2V1,INV-2026-002,2026-05-25T08:26:08,2026-06-09,20972.07,3774.97,24747.04,INR,PO-2026-0002,Paid,TXN0009,Utilities,Utilities invoice
INV0003,Nexa Systems Pvt Ltd,37QO7114163386T8V8,INV-2026-003,2026-05-01T08:34:35,2026-05-16,19000.00,3420.00,22420.00,INR,PO-2026-0003,Paid,TXN0003,Consulting,Quarterly software maintenance
INV0004,Nexa Systems Pvt Ltd,74WV8054945328F2D9,INV-2026-004,2026-05-05T11:12:39,2026-05-20,23078.47,4154.12,27232.59,INR,PO-2026-0004,Pending,TXN0035,Travel,Travel reimbursement
INV0005,BluePeak Insurance,57MO4984831105H5V2,INV-2026-001,2026-05-21T18:48:02,2026-06-05,17264.83,3107.67,20372.50,INR,PO-2026-0005,Pending,TXN0049,IT Equipment,Consulting services
INV0006,Astra Foods India,91AW3807186702P7U6,INV-2026-006,2026-05-19T09:57:33,2026-06-03,24834.81,4470.27,29305.08,INR,,Paid,TXN0116,IT Equipment,Office hardware procurement
INV0007,Nimbus Exporters,44BC5593669408S1F6,INV-2026-007,2026-05-01T11:37:09,2026-05-16,5846.50,1052.37,6898.87,INR,PO-2026-0007,Pending,TXN0119,Utilities,IT support renewal
INV0008,Global Health Services,82HS7375809922R6M3,INV-2026-008,2026-05-26T09:32:47,2026-06-10,9571.46,1722.86,11294.32,INR,PO-2026-0008,Paid,TXN0056,Software,Quarterly software maintenance
INV0009,BluePeak Insurance,53TY7499911131K1U5,INV-2026-009,2026-05-26T15:31:14,2026-06-10,8457.71,1522.39,9980.10,INR,PO-2026-0009,Pending,TXN0056,Software,Campaign agency spend
INV0010,Prime Couriers,20YT5839936821H2C5,INV-2026-010,2026-05-05T14:45:50,2026-05-20,12656.81,2278.23,14935.04,INR,PO-2026-0010,Pending,TXN0041,Marketing,Office hardware procurement
INV0011,BluePeak Insurance,10JO6896898329I2E2,INV-2026-011,2026-05-06T14:28:35,2026-05-21,4630.29,833.45,5463.74,INR,,Pending,TXN0014,Travel,Campaign agency spend
INV0012,Alpha Software,80CT6315503951A5N7,INV-2026-012,2026-05-25T09:46:57,2026-06-09,13137.57,2364.76,15502.33,INR,PO-2026-0012,Paid,TXN0088,Travel,Office hardware procurement
INV0013,Crestline Supplies,44JI9079253023C3N5,INV-2026-013,2026-05-14T12:30:50,2026-05-29,21301.59,3834.29,25135.88,INR,PO-2026-0013,Pending,TXN0032,IT Equipment,Travel reimbursement
INV0014,Nimbus Exporters,86TG8501212168E5A7,INV-2026-014,2026-05-11T17:24:51,2026-05-26,14334.79,2580.26,16915.05,INR,PO-2026-0014,Pending,TXN0043,Utilities,Travel reimbursement
INV0015,Crestline Supplies,48KT4290602278K3M6,INV-2026-015,2026-05-10T18:31:36,2026-05-25,10727.20,1930.90,12658.10,INR,PO-2026-0015,Pending,TXN0049,Utilities,Office hardware procurement
INV0016,Prime Couriers,56DS4273720995R3V9,INV-2026-016,2026-05-01T15:45:13,2026-05-16,20628.05,3713.05,24341.10,INR,,Pending,TXN0107,Consulting,IT support renewal
INV0017,Sparx Interiors,96PE5961353777I3W7,INV-2026-017,2026-05-26T14:04:28,2026-06-10,16158.70,2908.57,19067.27,INR,PO-2026-0017,Pending,TXN0069,Travel,Consulting services
INV0018,Sparx Interiors,79BZ6890835716Z9T2,INV-2026-001,2026-05-04T11:42:42,2026-05-19,27606.60,4969.19,32575.79,INR,PO-2026-0018,Paid,TXN0073,Software,Office hardware procurement
INV0019,Prime Couriers,52ZN2735111060D5H9,INV-2026-019,2026-05-24T16:35:37,2026-06-08,19000.00,3420.00,22420.00,INR,PO-2026-0019,Paid,TXN0004,Marketing,Campaign agency spend
INV0020,Crestline Supplies,54AP2712409783N2D3,INV-2026-020,2026-05-12T12:21:29,2026-05-27,15427.90,2777.02,18204.92,INR,PO-2026-0020,Pending,TXN0045,Utilities,Office hardware procurement
INV0021,Aviate Consulting,99OK2100414849B2A6,INV-2026-021,2026-05-21T09:43:51,2026-06-05,8186.88,1473.64,9660.52,INR,,Paid,TXN0067,Office Supplies,Utilities invoice
INV0022,Global Health Services,52RN8570343118Z7U3,INV-2026-022,2026-05-06T18:42:27,2026-05-21,18212.88,3278.32,21491.20,INR,PO-2026-0022,Paid,TXN0058,Consulting,Quarterly software maintenance
INV0023,Prime Couriers,10WG4371391865Y2S2,INV-2026-023,2026-05-26T16:11:23,2026-06-10,10296.48,1853.37,12149.85,INR,,Pending,TXN0015,Software,Office hardware procurement
INV0024,Nimbus Exporters,77UK7367741003M2L6,INV-2026-024,2026-05-28T15:39:11,2026-06-12,18747.63,3374.57,22122.20,INR,PO-2026-0024,Pending,TXN0118,Utilities,Utilities invoice
INV0025,BluePeak Insurance,96EK2931350161J2F6,INV-2026-025,2026-05-23T10:32:24,2026-06-07,13209.04,2377.63,15586.67,INR,PO-2026-0025,Paid,TXN0074,Consulting,Campaign agency spend
INV0026,Global Health Services,72UR3838681868F8J3,INV-2026-026,2026-05-06T13:53:28,2026-05-21,15630.61,2813.51,18444.12,INR,,Pending,TXN0002,Travel,Quarterly software maintenance
INV0027,Indigo Travel Co,59RQ9109529008V8N8,INV-2026-027,2026-05-16T10:05:36,2026-05-31,4784.68,861.24,5645.92,INR,PO-2026-0027,Paid,TXN0038,IT Equipment,IT support renewal
INV0028,Sigma Labs,78JF8492693127X8R9,INV-2026-028,2026-05-04T17:07:17,2026-05-19,10000.00,1800.00,11800.00,INR,PO-2026-0028,Pending,TXN0001,Utilities,Campaign agency spend
INV0029,Aviate Consulting,79GN2677871740U4J1,INV-2026-029,2026-05-15T12:22:55,2026-05-30,27854.98,5013.90,32868.88,INR,PO-2026-0029,Pending,TXN0111,Utilities,Quarterly software maintenance
INV0030,Sigma Labs,36ZX6744845279T7F3,INV-2026-030,2026-05-26T11:52:13,2026-06-10,103876.85,18697.83,122574.68,INR,PO-2026-0030,Pending,TXN0069,Utilities,Quarterly software maintenance
INV0031,Urban Malls Ltd,47JS5380999695Q2E7,INV-2026-031,2026-05-30T08:17:55,2026-06-14,7509.84,1351.77,8861.61,INR,,Paid,TXN0032,Marketing,Office hardware procurement
